part,filename
train
,Au0_Rha_2397_Verso_SurAlt.bmp
,Au0_Rha_2411_Verso_SurAlt.bmp
,Au0_Rha_2421_Verso_SurAlt.bmp
,Au0_Rha_2469_Verso_SurAlt.bmp
,Au0_Rha_2471_Verso_SurAlt.bmp
,Au0_Rha_2477_Verso_SurAlt.bmp
,Au0_Rha_2481_Verso_SurAlt.bmp
,Au0_Rha_2482_Verso_SurAlt.bmp
,Au0_Rha_2492_Verso_SurAlt.bmp
,Au0_Rha_2544_Verso_SurAlt.bmp
,Au0_Rha_2635_Verso_SurAlt.bmp
,Au0_Rha_2653_Verso_SurAlt.bmp
,Au0_Rha_2761_Verso_SurAlt.bmp
,Au0_Rha_2762_Verso_SurAlt.bmp
,Au0_Rha_2764_Verso_SurAlt.bmp
,Au0_Rha_2766_Verso_SurAlt.bmp
,Au0_Rha_2767_Verso_SurAlt.bmp
,Au0_Rha_2768_Verso_SurAlt.bmp
,Au0_Rha_2770_Verso_SurAlt.bmp
,Au0_Rha_2771_Verso_SurAlt.bmp
,Au0_Rha_2772_Verso_SurAlt.bmp
,Au0_Rha_2773_Verso_SurAlt.bmp
,Au0_Rha_2776_Verso_SurAlt.bmp
,Au0_Rha_2777_Verso_SurAlt.bmp
,Au0_Rha_2778_Verso_SurAlt.bmp
,Au0_Rha_2780_Verso_SurAlt.bmp
,Au0_Rha_2781_Verso_SurAlt.bmp
,Au0_Rha_2782_Verso_SurAlt.bmp
,Au0_Rha_2783_Verso_SurAlt.bmp
,Au0_Rha_2786_Verso_SurAlt.bmp
,Au0_Rha_2787_Verso_SurAlt.bmp
,Au0_Rha_2788_Verso_SurAlt.bmp
,Au0_Rha_2789_Verso_SurAlt.bmp
,Au0_Rha_2790_Verso_SurAlt.bmp
,Au0_Rha_2791_Verso_SurAlt.bmp
,Au0_Rha_2792_Verso_SurAlt.bmp
,Au0_Rha_2793_Verso_SurAlt.bmp
,Au0_Rha_2794_Verso_SurAlt.bmp
,Au0_Rha_2795_Verso_SurAlt.bmp
,Au0_Rha_2796_Verso_SurAlt.bmp
,Au0_Rha_2797_Verso_SurAlt.bmp
,Au0_Rha_2798_Verso_SurAlt.bmp
,Au0_Rha_2799_Verso_SurAlt.bmp
,Au0_Rha_2801_Verso_SurAlt.bmp
,Au0_Rha_2803_Verso_SurAlt.bmp
,Au0_Rha_2804_Verso_SurAlt.bmp
,Au0_Rha_2805_Verso_SurAlt.bmp
,Au0_Rha_2808_Verso_SurAlt.bmp
,Au0_Rha_2809_Verso_SurAlt.bmp
,Au0_Rha_2810_Verso_SurAlt.bmp
,Au0_Rha_2811_Verso_SurAlt.bmp
,Au0_Rha_2812_Verso_SurAlt.bmp
,Au0_Rha_2813_Verso_SurAlt.bmp
,Au0_Rha_2814_Verso_SurAlt.bmp
,Au0_Rha_2838_Verso_SurAlt.bmp
,Au0_Rha_2839_Verso_SurAlt.bmp
,Au0_Rha_2840_Verso_SurAlt.bmp
,Au0_Rha_2841_Verso_SurAlt.bmp
,Au0_Rha_2842_Verso_SurAlt.bmp
,Au0_Rha_2843_Verso_SurAlt.bmp
,Au0_Rha_2869_Verso_SurAlt.bmp
,Au0_Rha_2871_Verso_SurAlt.bmp
,Au0_Rha_2874_Verso_SurAlt.bmp
,Au0_Rha_2876_Verso_SurAlt.bmp
,Au0_Rha_2899_Verso_SurAlt.bmp
,Au0_Rha_2900_Verso_SurAlt.bmp
,Au0_Rha_2901_Verso_SurAlt.bmp
,Au0_Rha_2905_Verso_SurAlt.bmp
,Au0_Rha_2906_Verso_SurAlt.bmp
,Au0_Rha_2913_Verso_SurAlt.bmp
,Au0_Rha_2919_Verso_SurAlt.bmp
,Au0_Rha_2922_Verso_SurAlt.bmp
,Au0_Rha_2927_Verso_SurAlt.bmp
,Au0_Rha_2928_Verso_SurAlt.bmp
,Au0_Rha_2930_Verso_SurAlt.bmp
,Au0_Rha_2933_Verso_SurAlt.bmp
,Au0_Rha_2934_Verso_SurAlt.bmp
,Au0_Rha_2938_Verso_SurAlt.bmp
,Au0_Rha_2943_Verso_SurAlt.bmp
,Au0_Rha_2944_Verso_SurAlt.bmp
,Au0_Rha_2947_Verso_SurAlt.bmp
,Au0_Rha_2948_Verso_SurAlt.bmp
,Au0_Rha_2957_Verso_SurAlt.bmp
,Au0_Rha_2960_Verso_SurAlt.bmp
,Au0_Rha_2962_Verso_SurAlt.bmp
,Au0_Rha_2964_Verso_SurAlt.bmp
,Au0_Rha_2966_Verso_SurAlt.bmp
,Au0_Rha_2969_Verso_SurAlt.bmp
,Au0_Rha_2971_Verso_SurAlt.bmp
,Au0_Rha_2972_Verso_SurAlt.bmp
,Au0_Rha_2975_Verso_SurAlt.bmp
,Au0_Rha_2976_Verso_SurAlt.bmp
,Au0_Rha_2978_Verso_SurAlt.bmp
